status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,termination_date,more_code_info
Ongoing,San Juan Del Rio,N/A,Mexico,Class II,{},Drugs,86162,Albek De Mexico S.A. De C.V.,Oriente Cuatro No. 11 Nuevo,N/A,N/A,Voluntary: Firm initiated,Press Release,USA Nationwide,D-0080-2021,"Assured Instant Hand Sanitizer Aloe & Moisturizers (Ethyl Alcohol 70% v/v) 8 fl oz / 237 mL bottle, Distributed By: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320. Made in Mexico.UPC 639277928610","27,000 bottles",CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,20200730,20201117,20201125,1931102AL,,
Terminated,Parsippany,NJ,United States,Class II,"{'application_number': ['ANDA040422'], 'brand_name': ['DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE'], 'generic_name': ['DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE'], 'manufacturer_name': ['Teva Pharmaceuticals USA, Inc.'], 'product_ndc': ['0555-0971', '0555-0775', '0555-0972', '0555-0776', '0555-0777', '0555-0973', '0555-0974'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['AMPHETAMINE ASPARTATE MONOHYDRATE', 'AMPHETAMINE SULFATE', 'DEXTROAMPHETAMINE SACCHARATE', 'DEXTROAMPHETAMINE SULFATE'], 'rxcui': ['541363', '541878', '541892', '577957', '577961', '687043', '1009145'], 'spl_id': ['88468f3d-7d03-4cee-aabf-3abc8c9b5e38'], 'spl_set_id': ['cffbbb15-d776-41ae-a8a6-687f2c07bfa4'], 'package_ndc': ['0555-0971-02', '0555-0775-02', '0555-0972-02', '0555-0776-02', '0555-0777-02', '0555-0973-02', '0555-0974-02'], 'is_original_packager': [True], 'unii': ['O1ZPV620O4', '6DPV8NK46S', 'JJ768O327N', 'G83415V073']}",Drugs,85712,Teva Pharmaceuticals USA,400 Interpace Pkwy,N/A,07054-1120,Voluntary: Firm initiated,Letter,Nationwide within the United State and Puerto Rico.,D-1285-2020,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets ( Mixed Amphetamine Salts Product), 5 mg, 100 count bottles, Rx Only, Teva Pharmaceuticals USA, INC. North Wales, PA 19454, NDC 0555-0971-02","33,280 bottles",Some bottles may contain mixed strengths of the product.,20200522,20200604,20200610,"Lot #: 42614718, Exp. date 02/2021",20210525,
Terminated,Allegan,MI,United States,Class II,"{'application_number': ['M012'], 'brand_name': ['EQUALINE NASAL'], 'generic_name': ['OXYMETAZOLINE HCL'], 'manufacturer_name': ['United Natural Foods, Inc. dba UNFI'], 'product_ndc': ['41163-703'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['NASAL'], 'substance_name': ['OXYMETAZOLINE HYDROCHLORIDE'], 'rxcui': ['1000990'], 'spl_id': ['00703ca9-7bc4-48a8-9e49-3688fffce57f'], 'spl_set_id': ['69308693-a094-42a9-a041-e73647a25cc1'], 'package_ndc': ['41163-703-10'], 'is_original_packager': [True], 'unii': ['K89MJ0S5VY']}",Drugs,88905,Perrigo Company PLC,515 Eastern Ave,,49010-9070,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0623-2022,"No Drip Nasal Spray, Oxymetazoline HCl 0.05% Nasal Decongestant, 1 FL Oz (30 mL) per bottle, Distributed by SUPERVALU INC., Eden Prairie, MN 55344 USA. NDC 41163-703-10","1,560 bottles",CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,20211026,20220223,20220302,"Batch: 1BK0964, Exp 01/31/2023",20230929,
Ongoing,Dania Beach,FL,United States,Class II,"{'application_number': ['part348'], 'brand_name': ['CRAMPY BELLY RUB'], 'generic_name': ['CAMPHOR'], 'manufacturer_name': ['Little Moon Essentials'], 'product_ndc': ['70722-260'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['TOPICAL'], 'substance_name': ['CAMPHOR (NATURAL)'], 'rxcui': ['1811772'], 'spl_id': ['b7b4fa51-fe6a-0c2a-e053-2995a90af780', 'b7b586eb-be25-366a-e053-2a95a90a33ba'], 'spl_set_id': ['3d9aeba4-5c4b-38fb-e054-00144ff88e88', '3d9d0307-f58e-3077-e054-00144ff8d46c'], 'package_ndc': ['70722-260-04', '70722-260-02'], 'is_original_packager': [True], 'unii': ['N20HL7Q941'], 'upc': ['673673882602', '673673882046']}",Drugs,94788,Little Moon Essentials LLC,501 Old Griffin Rd,N/A,33004-2774,Voluntary: Firm initiated,Letter,"Nationwide USA and Ontario, Canada (2 retailers)",D-0572-2024,"Little Moon Essentials, Crampy Belly Rub (Camphor 1.1%), Packaged as a) 4 FL OZ (118ML) glass jar, UPC Code 6 73673 88260 2, NDC 70722-260-04; b) 2 FL OZ (59ML) glass jar, UPC Code 6 73673 88204 6, NDC 70722-260-02, Little Moon Essentials LLC Dania Beach, Fl 33004",788 glass jars,CGMP deviations,20240620,20240702,20240710,"lot code No Expiration Date on product:  a) 224010,  b) 321260, 322260, 320280, 328080, 325021, 321121, 423010, 427110, 429120, 420220, 422140",,
Terminated,Dublin,OH,United States,Class II,"{'application_number': ['NDA200796'], 'brand_name': ['EDARBI'], 'generic_name': ['AZILSARTAN KAMEDOXOMIL'], 'manufacturer_name': ['Azurity Pharmaceuticals, Inc.'], 'product_ndc': ['60631-040', '60631-080'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['AZILSARTAN KAMEDOXOMIL'], 'rxcui': ['1091646', '1091650', '1091652', '1091654'], 'spl_id': ['2f63b0e8-977a-4d22-9550-29ad1926a9de'], 'spl_set_id': ['52b27c75-9f5a-4816-bafd-dace9d7d2063'], 'package_ndc': ['60631-040-07', '60631-040-30', '60631-040-77', '60631-080-07', '60631-080-30', '60631-080-77'], 'is_original_packager': [True], 'upc': ['0360631080308', '0360631040302'], 'unii': ['WEC6I2K1FC']}",Drugs,87512,Cardinal Health Inc.,7000 Cardinal Pl,N/A,43017-1091,Voluntary: Firm initiated,Letter,"FL, GA, SC",D-0429-2021,"Edarbi (azilsartan medoxomil) tablets 80 mg 30 Tablets Rx Only NDC 60631-080-30 Manufactured for: arbor Pharmaceuticals Atlanta, GA 30328",328 bottles,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20210524,20210602,78902-1,20240617,
Terminated,Dublin,OH,United States,Class II,"{'application_number': ['ANDA077857'], 'brand_name': ['ENOXAPARIN SODIUM'], 'generic_name': ['ENOXAPARIN SODIUM'], 'manufacturer_name': ['Sandoz Inc'], 'product_ndc': ['0781-3238', '0781-3246', '0781-3256', '0781-3262', '0781-3268', '0781-3298', '0781-3299'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['SUBCUTANEOUS'], 'substance_name': ['ENOXAPARIN SODIUM'], 'rxcui': ['854228', '854235', '854238', '854241', '854245', '854248', '854252'], 'spl_id': ['82c50153-58b8-4c35-8fc2-1d9b3d3ac7de'], 'spl_set_id': ['38f60bd8-b518-4098-a808-b8f5a3ae6a3a'], 'package_ndc': ['0781-3238-01', '0781-3238-63', '0781-3246-02', '0781-3246-64', '0781-3256-03', '0781-3256-66', '0781-3262-04', '0781-3262-68', '0781-3268-05', '0781-3268-69', '0781-3298-04', '0781-3298-68', '0781-3299-05', '0781-3299-69'], 'is_original_packager': [True], 'unii': ['8NZ41MIK1O']}",Drugs,89450,CARDINAL HEALTHCARE,7200 Cardinal Pl W,,43017-1094,Voluntary: Firm initiated,Letter,Nationwide USA,D-0179-2024,"Enoxaparin Sodium Injection, USP, 150MG/ML Single-Dose Syringes with Automatic Safety Device, For Subcutaneous Injection, Ten 1 mL Syringes per box, Rx Only, Sandoz Inc, Princeton, NJ 08540.  NDC: 0781-3299-69",2 units,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,20220126,20231226,20240103,Batch SAH06821A,20240929,
Completed,Chesapeake,VA,United States,Class II,{},Drugs,91466,Sentara Infusion Services,535 Independence Pkwy Ste 300,N/A,23320-5176,Voluntary: Firm initiated,Telephone,Dispensed to Patients Nationwide.,D-0296-2023,"HYDROMORPHONE (a) 1MG/ML IN NS,  50ML, 75 ML, 100ML, 175ML(NDC 00703-0018-01 and NDC 00409-2634-50) ; (b) 5MG/ML IN NS 60ML, 100ML, 250ML; pain, Rx only, used with a Curlin pump or no pump, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC# 00409-2634-50",37 bags,Lack of sterility assurance,20221227,20230215,20230222,"Beyond Use Date: December 24-31, 2022",,
Ongoing,Dawsonville,GA,United States,Class II,"{'application_number': ['ANDA207507'], 'brand_name': ['ALPRAZOLAM'], 'generic_name': ['ALPRAZOLAM'], 'manufacturer_name': ['Direct Rx'], 'product_ndc': ['72189-121', '72189-240', '72189-213'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['ALPRAZOLAM'], 'rxcui': ['197321', '197322', '308048'], 'spl_id': ['ff44e969-fc5e-ac2d-e053-6294a90a25bb'], 'spl_set_id': ['ac886819-5bf1-2294-e053-2995a90ad058'], 'package_ndc': ['72189-240-90', '72189-240-30', '72189-121-60', '72189-213-60', '72189-213-30'], 'original_packager_product_ndc': ['51991-705', '51991-707', '51991-706'], 'nui': ['N0000175694', 'M0002356'], 'pharm_class_epc': ['Benzodiazepine [EPC]'], 'pharm_class_cs': ['Benzodiazepines [CS]'], 'unii': ['YU55MQ3IZY']}",Drugs,92054,Direct Rx,94 Worldwide Dr,,30534-6828,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0508-2023,"Alprazolam C-IV, 1 mg, packaged in a) 30 Tabs per bottle, NDC 72189-213-30; b) 60 Tabs per bottle, NDC 72189-213-60; Rx only, Packaged and Distributed By: Direct Rx Dawsonville, GA 30534.",349 bottles,CGMP Deviations: Repackaging firm recalling due to potential product cross contamination concerns at the manufacturer.,20230322,20230406,20230412,"Lots: a) 03FE2318, Exp. 8/31/24; b) 27FE2315, 28FE2313, 02MA2306, 21SE2201, 16NO2216, 17NO2216, 24FA2314, Exp. 8/31/24; 17FE2203, 12AP2204, 17MA2205, Exp. 3/31/23; 21JU2206, 22JU2220, 12JY2206, Exp. 5/31/23; 10AU2209, Exp. 6/30/23; 14DE2215, Exp. 9/30/24; 05JA2304, 27JA2301, Exp. 11/30/24.",,
Terminated,Brookhaven,NY,United States,Class II,"{'application_number': ['ANDA090576'], 'brand_name': ['NIZATIDINE'], 'generic_name': ['NIZATIDINE'], 'manufacturer_name': ['Amneal Pharmaceuticals LLC'], 'product_ndc': ['60846-301'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['NIZATIDINE'], 'rxcui': ['476872'], 'spl_id': ['aedc4160-2165-451e-8a3b-26d3bb911242'], 'spl_set_id': ['39e62997-8781-449a-e054-00144ff88e88'], 'package_ndc': ['60846-301-15'], 'is_original_packager': [True], 'nui': ['N0000000151', 'N0000175784'], 'pharm_class_moa': ['Histamine H2 Receptor Antagonists [MoA]'], 'pharm_class_epc': ['Histamine-2 Receptor Antagonist [EPC]'], 'unii': ['P41PML4GHR']}",Drugs,85386,"Amneal Pharmaceuticals of New York, LLC",50 Horseblock Rd,N/A,11719-9509,Voluntary: Firm initiated,Press Release,Nationwide,D-1253-2020,"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",11258 bottles,CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,20200415,20200424,20200506,06598004A 04/2020  06599001A 12/2020  06599002A 12/2020,20210908,
Terminated,Bolingbroke,GA,United States,Class I,{},Drugs,86270,SG24 LLC,8315 Rivoli Road,Ste A,31004,Voluntary: Firm initiated,Press Release,Nationwide,D-1572-2020,"SkinGuard 24 All-Day Hand Sanitizer 8 oz. bottle with foam pump, Dist by: SG24 LLC, Bolingbroke, GA 31004  UPC 793573147125",9600 bottles,Marketed without an Approved NDA/ANDA; product labeled to contain 0.56% methanol making it an unapproved new drug,20200814,20200911,20200909,SKU 051230024  All lots labeled to contain methanol,20230605,
Ongoing,Hattiesburg,MS,United States,Class II,{},Drugs,90982,"Pharmacy Plus, Inc. dba Vital Care Compounder",115 S 40th Ave,N/A,39402-6600,Voluntary: Firm initiated,Telephone,"AL, LA, MS, and TN",D-0037-2023,"MEDROXYPROGESTERONE ACETATE 300 MG/ML Suspension, 10 mL vial, Rx only, Vital Care Compounder, 115 S. 40th Ave., Hattiesburg, MS  39402",40 vials,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.,20221007,20221102,20221109,"Lot: 55786, BUD: 12/31/2022",,
Terminated,Norwalk,CT,United States,Class II,{},Drugs,91719,"Ecometics, Inc.",19 Concord St,,06854-3706,Voluntary: Firm initiated,Letter,Nationwide within the United States,D-0452-2023,"Unguentine Original Maximum Strength Pain Relieving/Antiseptic Ointment (Camphor 3.0%, Phenol 2.5%, Tannic Acid 2.2%, Oxide 6.6%), packaged in 1 oz. (28.3g) metal tubes, Distributed by: Oakhurst Company Levittown, NY 11756",,CGMP DEVIATIONS,20230224,20230308,20230315,"Lot #: 1E346A, Exp. Date Nov-23; 2E304A, Exp. Date Oct-24",20230621,
